message_id,message,topic,reason,economic_narrative,narrative_strength,economic_effect,information_resonance
8c497c96-be46-4bb4-888f-25e40d20debb,"#POSI 
ГК Позитив — лидер в рейтинге покупок сегодня, по данным Шпиона РЦБ

Текущая дельта: +227 млн руб. За последний год к 16:00 мск показатель был ниже в 99.2% случаев.

POSI +5% сегодня.

Сегодня утром указывали на активные покупки в акциях компании в течение последних дней.

В топе рейтинга также Яндекс, Полюс, Норникель. А бумаги МРСК ЦП установили свой максимум по дельте на 16:00 мск.",Рынки капитала,"Новость описывает активные покупки акций и изменения в рейтинге компаний, что относится к рынкам капитала.",0,0.0,0.0,0.0
63c159f3-4205-4477-bb06-e00c0bde9187,"⚡️Россельхознадзор опроверг запрет на ввоз мандаринов из Абхазии.

«Данная информация не соответствует действительности. Россия не вводила никаких запретов на ввоз продукции из Абхазии», сообщили РБК в ведомстве.",Международная торговля,"Новость сообщает о заявленном запрете (и его опровержении) на импорт мандаринов из Абхазии, что относится к вопросам внешней торговли.",0,0.0,0.5,0.25
e189e8c9-28c2-4160-92e2-fc929057f2cc,"Корпоративные бонды с доходностью 20-21%+ — серьезная конкуренция акциям. #тактика_на_РЦБ 

На рынке появляется все больше корпоративных облигаций с фиксированным купоном под доходность в 21-22% годовых на следующие 1-2 года от крепких эмитентов (см. таблицу).

Такие облигации составляют серьезную конкуренцию акциям:
✍️ Многие облигации предлагают 20-21% годовых на следующие 1-2 года.
✍️ Форвардная дивидендная доходность индекса Мосбиржи — не более 10%.

Лайфхаки:
👉 Обратить внимание на корпоративные облигации с фиксированным купоном, они могут быть интереснее флоатеров и фондов денежного рынка, особенно на развороте ставки. 
👉 Покупать облигации на размещениях, которые могут предложить более выгодные условия, чем вторичный рынок.

😀 @AK47pfl",Рынки капитала,"Текст посвящён корпоративным облигациям, их доходности и конкуренции с акциями, что относится к рынкам капитала.",0,0.1,0.1,0.1
db2e74c1-fefa-4333-823c-6e0a527e87a0,"#MTLR
🪨 Мечел в 2025г может сократить отгрузку угля на 25% — гендиректор

Мечел не ждет дальнейшего снижения цен на уголь, в  III-IV кварталах ситуация должна улучшиться

Мечел в рамках господдержки получил рассрочку выплаты долга по налогам на 13 млрд руб. — финдиректор

Капзатраты Мечела на этот год составят 9.4 млрд руб., из них на поддержание основной деятельности - 7.8 млрд руб. — гендиректор

Мечел обсуждает продажу активов, в первую очередь энергетических — гендиректор

Мечел изучает продажу Кузбассэнергосбыта и Южно-Кузбасской ГРЭС",Корпоративные финансы,"Новость описывает финансовые решения Mechel: сокращение отгрузок, рассрочку долга, капитальные затраты и планируемую продажу активов, что относится к корпоративным финансам.",0,0.0,-0.25,0.25
031d93c6-89f0-426a-ada0-9f6f4174f4b7,"Россия вошла в топ-5 стран по оттоку миллионеров

Китай в этом году занял первое место в мире по оттоку миллионеров. В топ-5 стран с наибольшим числом уехавших состоятельных граждан также вошли Великобритания, Индия, Южная Корея и Россия — подсчитали Henley & Partners.

В числе стран, куда больше всего приезжает миллионеров из других стран: ОАЭ, США, Сингапур, Канада и Австралия.

👍 The Экономист",Макроэкономика,"Новость сообщает о масштабном оттоке миллионеров из стран, что является макроэкономическим индикатором движения капитала и благосостояния.",1,0.5,-0.5,0.75
0ece61dc-16c2-4cd7-8c09-c48959b5a42f,"В России взлетели продажи Оземпика — препарат для похудения и его аналоги стали покупать в четыре раза чаще по сравнению с прошлым годом.

Причина такого роста в появлении российских дженериков и снижении цен. Всего реализовано 2,2 млн упаковок.

🔵 Bloomberg",Другое,"Новость содержит конкретные данные о росте продаж, объёме и ценах, что указывает на экономическое измерение рынка потребительских товаров.",0,0.0,0.1,0.2
5d762113-d49b-46e5-88ea-29436baad640,"ЦБ России в сентябре может повысить ключевую ставку до 19-20% годовых, заявил старший вице-президент Сбербанка Тарас Скворцов в кулуарах Восточного экономического форума. По его словам, этот сценарий так же вероятен, как и сохранение ставки на текущем уровне 18%.
«Точно мы не ждем снижения, думаю, равные шансы на сохранение или на повышение», — отметил он. @bankrollo",Макроэкономика,"Новость посвящена возможному изменению ключевой ставки ЦБ России, что является центральным макроэкономическим событием.",1,0.5,-0.5,0.75
fe6ab0f8-651b-4aec-aae1-201f1bfd331e,"©️ ИДЕЯ ©️
⭐️ Флоатеры Самолета БО-П14⭐️
Срок: 8 месяцев
Цель: более 20% годовых в течение 8 месяцев

Самолет размешает флоатеры с доходностью 20.85% (Ключевая ставка ЦБ + 285 б. п.)

❗️ Заявки на участие в размещении принимаются до 15:00 мск 1 августа (сегодня)
Подать заявку можно через большинство брокеров, обращайтесь к своему для участия.

После повышения ставки ЦБ до 18% на рынке облигаций появляются флоатеры от крепких эмитентов с доходностью выше 20%. Одни из первых — флоатеры Самолета под 20.85%.

Могут приносить доходность выше 20% годовых не менее 8 следующих мес.: 
- Ключевая ставка уже 18%. Может быть повышена до 20% до конца года
- Снижение начнется, вероятнее всего, во 2м квартале 2025 года (то есть через ~8 мес.).

Купон по флоатеру Самолета будет выплачиваться каждый месяц, что делает эти облигации предельно похожими на депозит или фонд денежного рынка, но с более высокой доходностью (LQDT сейчас дает около 17%).

Обращаем внимание:
- Сбор заявок на облигации проводится сегодня до 15-00 МСК, участвовать могут только квалифицированные инвесторы
- Покупать на размещении, как правило выгоднее, чем на вторичном рынке.

#Идея #Бонды #SMLT
Дисклеймер @cbrstocks",Рынки капитала,"Текст описывает выпуск облигаций‑флоатеров, их доходность, связь с ключевой ставкой ЦБ и процесс размещения через брокеров, что относится к рынкам капитала.",0,0.0,0.0,0.0
4f873eed-604f-4e9e-a908-0ad35eb55548,"#HEAD
Акционеры МКПАО ""Хэдхантер"" утвердили выплату спецдивиденда в 907 руб./акция
Акционеры МКПАО ""Хэдхантер"" на внеочередном собрании утвердили решение о выплате спецдивиденда в размере 907 рублей на акцию, сообщила компания.

HEAD 4313.0₽

👉Полная новость

Замечено Шпионом РЦБ.
Подключить: @StockSpy_bot",Корпоративные финансы,"Новость сообщает о решении акционеров выплатить специальный дивиденд, что относится к корпоративным финансовым мероприятиям.",0,0.0,0.5,0.0
59b8865a-e917-4a27-8bcc-d37b50e46861,"Главные материалы агентства к утру вторника.

🔹Андрей Разин представит в суде решение 2007 г, по нему он - автор 27 хитов ""Ласкового мая"".

🔹Бойцы ""Южной"" группировки уничтожили пункт ВСУ, мешавший продвижению к Константиновке.

🔹В Госдуме предложили ежегодно выдавать детям оздоровительные сертификаты.

🔹Проливные дожди, грозы и град грозят нарушить во вторник жизнеобеспечение 10 регионов России.

🔹В МВД рассказали, как в переписке с другом вычислить мошенника.

🔹США, несмотря на обещание, не поставили Киеву радиотехнику более чем на $318 млн.

🔹Мосгорсуд возобновил дело российского изобретателя, требующего 294 млрд руб с Apple.

🔹Россиян предупредили о штрафе за уборку квартиры в вечернее время.

🔹Средняя предлагаемая зарплата мастеров маникюра в РФ в 2025 выросла на 50%.

🔹 Подписаться на РИА Новости / Все наши каналы",Макроэкономика,"В новости есть конкретные экономические данные: рост средней зарплаты мастеров маникюра и крупные суммы в судебных и международных финансовых контекстах, что указывает на макроэкономический фокус.",0,0.0,0.0,0.0
bef16b6e-265b-4f2a-8c61-ae3378bd5d65,"Китай потребовал у Газпрома газ по внутрироссийским ценам

Переговоры России и Китая по поводу строительства газопровода «Сила Сибири-2» столкнулись с препятствиями из-за разногласий сторон. Китай готов покупать лишь малую часть газа от планируемой ежегодной мощности газопровода (50 млрд кубометров) и требует установить внутрироссийские цены на газ.

Сделка по строительству газопровода позволила бы Газпрому улучшить своё положение. Напомним, что по итогам 2023 года компания достигла рекордного убытка в 629 млрд рублей. На данный момент Китай платит России за газ меньше, чем другим поставщикам, и ожидает ещё большего снижения цен.

👍 The Экономист",Международная торговля,"Новость описывает переговоры о поставках газа в Китай, цены и условия экспорта, что является экономическим событием в сфере международной торговли.",1,0.5,-0.5,0.5
6abe499f-3863-4dd1-a4f3-72593e1ad821,"#ЦБРФ
Прежде чем смягчать ДКП, надо добиться снижения инфляционных ожиданий — Заботкин",Макроэкономика,"Текст обсуждает действия Центрального банка России и необходимость снижения инфляционных ожиданий, что относится к макроэкономическим показателям.",0,0.0,0.0,0.0
9f7cf4b9-15ce-40c5-b1d0-23d72deb82ec,"Российская налоговая заблокировала счета певца и лидера группы Little Big Ильи Прусикина* из-за задолженности, следует из данных сервиса ""БИР-Аналитик"", с которыми ознакомилось РИА Новости. 

* признан в России иноагентом",Государственная экономическая политика,"Новость описывает действие налоговой службы по блокировке счетов из‑за задолженности, что относится к налоговой политике государства.",0,0.0,-0.25,0.25
5e44df4b-3a41-4eef-8171-29331e9f4cb4,"Доллар дороже 107 рублей, юань — 14 рублей. @bankrollo",Валютный рынок,"Текст сообщает текущие курсы валют, что является явным экономическим сигналом о валютном рынке.",1,0.75,-0.75,0.75
